L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,1,0.0,0.21955345990224973,0,1,1,101111111100,3,false,5.0,0.9622303708653093,3.8654350925455536e-16,0.9015332625885469,3.9177241041370263e-16,12.0,0.75
12,9,1,1,0.0,0.21955345990224973,0,1,1,101111111100,3,true,5.0,0.9394349027040609,7.154738190553748e-16,0.8418829903404752,7.237354931646284e-16,12.0,0.75
12,9,1,4,0.0,0.21955345990224973,0,1,1,101111111100,3,false,5.0,0.9638063123434489,2.569682273894096e-16,0.9079488781980316,2.946531535193955e-16,12.0,0.75
12,9,1,4,0.0,0.21955345990224973,0,1,1,101111111100,3,true,5.0,0.9453382385992712,7.609387412119056e-16,0.8654406938174678,8.197241459157316e-16,12.0,0.75
12,9,1,16,0.0,0.24082464459316258,0,1,1,101111111100,3,false,5.0,0.9763869568868294,9.086716991750348e-16,0.959687987910988,9.348869293963138e-16,12.0,0.75
12,9,1,16,0.0,0.24082464459316258,0,1,1,101111111100,3,true,5.0,0.9758528171489219,1.5455738051599048e-15,0.9457741203090464,1.4714315020690311e-15,12.0,0.75
12,9,1,1,0.0,0.24082464459316258,0,1,1,101111111100,3,false,5.0,0.9552794893174611,3.763850285418498e-16,0.8835350089147092,4.022054712467396e-16,12.0,0.75
12,9,1,1,0.0,0.24082464459316258,0,1,1,101111111100,3,true,5.0,0.9282512697202198,7.164763880385483e-16,0.8128178629044747,7.173871727859681e-16,12.0,0.75
12,9,1,4,0.0,0.24082464459316258,0,1,1,101111111100,3,false,5.0,0.9575168598444568,2.4014459198322847e-16,0.8925994103883578,2.275165375685427e-16,12.0,0.75
12,9,1,4,0.0,0.24082464459316258,0,1,1,101111111100,3,true,5.0,0.9365225500359977,7.690640122905287e-16,0.8455302074085762,7.694048457492366e-16,12.0,0.75
12,9,1,16,0.0,0.2641566635717991,0,1,1,101111111100,3,false,5.0,0.9749529565120135,9.052501312019409e-16,0.9601517243114139,9.14359587252753e-16,12.0,0.75
12,9,1,16,0.0,0.2641566635717991,0,1,1,101111111100,3,true,5.0,0.9720440897236952,1.5430050414321542e-15,0.932731785487515,1.5005268103476018e-15,12.0,0.75
12,9,1,1,0.0,0.2641566635717991,0,1,1,101111111100,3,false,5.0,0.9471041659916221,3.861469505821966e-16,0.8627214412826426,3.921577781077614e-16,12.0,0.75
12,9,1,1,0.0,0.2641566635717991,0,1,1,101111111100,3,true,5.0,0.9150791008203615,7.120278873181318e-16,0.7791207469061886,6.905162074887518e-16,12.0,0.75
12,9,1,4,0.0,0.2641566635717991,0,1,1,101111111100,3,false,5.0,0.9502695120966398,2.2046268288959392e-16,0.8754650150143559,2.1196602213352394e-16,12.0,0.75
12,9,1,4,0.0,0.2641566635717991,0,1,1,101111111100,3,true,5.0,0.9265984467092104,7.576647191882529e-16,0.8241654485718324,7.858370481154488e-16,12.0,0.75
12,9,1,16,0.0,0.2897491784001819,0,1,1,101111111100,3,false,5.0,0.9736904202143155,9.048863017288937e-16,0.9606589780807655,8.913374020756799e-16,12.0,0.75
12,9,1,16,0.0,0.2897491784001819,0,1,1,101111111100,3,true,5.0,0.9673602105630921,1.5402757948659897e-15,0.919014907261113,1.5021740096751212e-15,12.0,0.75
12,9,1,1,0.0,0.2897491784001819,0,1,1,101111111100,3,false,5.0,0.9375430824521912,3.776373555084742e-16,0.8388570430049563,3.8593565876275337e-16,12.0,0.75
12,9,1,1,0.0,0.2897491784001819,0,1,1,101111111100,3,true,5.0,0.8996462517229532,7.100618030482497e-16,0.7403539760589273,7.150146369569534e-16,12.0,0.75
12,9,1,4,0.0,0.2897491784001819,0,1,1,101111111100,3,false,5.0,0.9420019001710223,2.2740222134878644e-16,0.8566666059796337,2.662100717466525e-16,12.0,0.75
12,9,1,4,0.0,0.2897491784001819,0,1,1,101111111100,3,true,5.0,0.9155718752508144,7.664325470576748e-16,0.8017596005831025,7.48844807249719e-16,12.0,0.75
12,9,1,16,0.0,0.3178211946213545,0,1,1,101111111100,3,false,5.0,0.9724889029959959,9.125392956403692e-16,0.9600872776870111,9.42280270222395e-16,12.0,0.75
12,9,1,16,0.0,0.3178211946213545,0,1,1,101111111100,3,true,5.0,0.9619353056098106,1.5342176117251912e-15,0.9059414026166001,1.4834095855604662e-15,12.0,0.75
12,9,1,1,0.0,0.3178211946213545,0,1,1,101111111100,3,false,5.0,0.9264349982180422,3.7720969683178977e-16,0.8117813782184522,3.7686859466775797e-16,12.0,0.75
12,9,1,1,0.0,0.3178211946213545,0,1,1,101111111100,3,true,5.0,0.8816740700922293,7.084584479082328e-16,0.6961717242495628,7.0010218647053975e-16,12.0,0.75
12,9,1,4,0.0,0.3178211946213545,0,1,1,101111111100,3,false,5.0,0.9326826214825706,2.15755343813501e-16,0.8364924040793535,2.0938746033126619e-16,12.0,0.75
12,9,1,4,0.0,0.3178211946213545,0,1,1,101111111100,3,true,5.0,0.9034984139271783,7.761667332075777e-16,0.7788805214534946,7.528195037660746e-16,12.0,0.75
